Configuração,Seed,Fold,Acc,Prec,Rec,F1,ROC_AUC,Arquivo
Vgg_AUG_CV_DatasetOriginal_9_01,26,0,0.898,0.8421,0.8889,0.8649,0.9373,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,27,0,0.8958,0.8824,0.8333,0.8571,0.9667,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,28,0,0.9184,0.8261,1.0,0.9048,0.9702,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetOriginal_9_01,29,0,0.8261,0.6923,0.6923,0.6923,0.9394,./eval_results/DatasetOriginal_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,0,0,0.7917,0.65,0.8125,0.7222,0.8809,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,1,0,0.84,0.7619,0.8421,0.8,0.9287,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,2,0,0.8125,0.8571,0.6316,0.7273,0.8512,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,3,0,0.7755,0.9091,0.5,0.6452,0.9138,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,4,0,0.86,0.8333,0.7895,0.8108,0.9491,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,5,0,0.8511,0.7222,0.8667,0.7879,0.9146,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,6,0,0.8627,0.85,0.8095,0.8293,0.9524,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,7,0,0.82,0.75,0.7895,0.7692,0.9134,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,8,0,0.88,0.8824,0.7895,0.8333,0.9389,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,9,0,0.8627,0.8824,0.75,0.8108,0.9403,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,10,0,0.9423,0.8696,1.0,0.9302,0.9609,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,11,0,0.902,1.0,0.75,0.8571,0.9419,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,12,0,0.88,0.7826,0.9474,0.8571,0.9745,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,13,0,0.8367,0.7778,0.7778,0.7778,0.9283,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,14,0,0.8235,0.7083,0.8947,0.7907,0.8865,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,15,0,0.8958,0.8,0.9412,0.8649,0.9184,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,16,0,0.8235,0.75,0.7895,0.7692,0.9243,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,17,0,0.9,0.8889,0.8421,0.8649,0.9355,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,18,0,0.8824,0.8095,0.8947,0.85,0.9342,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,19,0,0.9583,0.8947,1.0,0.9444,0.9753,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,20,0,0.8511,0.75,0.8,0.7742,0.8938,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,21,0,0.7917,0.6364,0.875,0.7368,0.9277,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,22,0,0.7647,0.8125,0.5909,0.6842,0.8824,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,23,0,0.8571,0.7778,0.8235,0.8,0.9191,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,24,0,0.9167,0.8421,0.9412,0.8889,0.9867,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,25,0,0.8824,0.8182,0.9,0.8571,0.9419,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,26,0,0.8846,0.8077,0.9545,0.875,0.9485,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,27,0,0.8235,0.8235,0.7,0.7568,0.8984,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,28,0,0.8125,0.8333,0.5882,0.6897,0.8956,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,29,0,0.7917,0.7692,0.5882,0.6667,0.8577,./eval_results/DatasetSeg2classes_per_run.csv
